,Date (GMT),Facebook Page,Post ID,Post Type,Post_Message,Tags,Campaign,Comments,Engaged Users,Engagement Rate,Reach,Reactions,Shares,Video Views
0,2019-05-28 20:11:24,Canadian Innovation,136461090093520_474615843282577,Video,🔴 LIVE: Honouring Canada’s top educators at the 25th #PMAwards Ceremony in #Ottawa 🔴 EN DIRECT: Hommage aux meilleurs éducateurs du Canada à la 25e cérémonie des #PrixduPM à #Ottawa,,,837,11014,0.055003,200244,1117,249,42463
1,2019-08-23 18:00:56,Canadian Innovation,136461090093520_595365820869709,Photo,"“Every day I have the immense privilege and opportunity to bring my whole self to work—all of my diversities, abilities, challenges and realities. I can only do this because my department, from its most senior leadership through to its equally committed front lines, has built an environment that recognizes that we are stronger, more productive, healthier and better able to use our full talents when we can be recognized for all that we are and bring and do.”  – Mark S., Director General, Strategy and Innovation   We couldn’t have said it any better than that. Innovation, Science and Economic Development Canada would not thrive the way it does without every one of its employees from every walk of life!   http://ow.ly/wSbH30ppcEv  Capital Pride • Fierté dans la Capitale #GCInclusion #PSPW2019 #LoveWins #PrideSeason #LGBTQ2 #ISEDProud #FiertéCapPride",,,2,438,0.142162,3081,106,8,0
4,2019-06-07 13:30:24,Canadian Innovation,136461090093520_552529221820036,Photo,The #PMAwards for Excellence in Early Childhood Education recognize Canada’s top #ECEs who are working hard to set the stage for young Canadians to reach their full potential.   Join us in congratulating the 2019 recipients! http://ow.ly/L5MO30oTXOj,,,8,235,0.126685,1855,91,6,0
5,2019-07-01 16:01:48,Canadian Innovation,136461090093520_566385313767760,Photo,"Today, we celebrate our country and all we have accomplished. And we aren’t stopping! Happy #CanadaDay2019!",,,6,98,0.06503,1507,80,3,0
6,2019-05-10 15:48:11,Canadian Innovation,136461090093520_537780509961574,Photo,Minister Bains heading into Google’s #GoNorth event like…,,,2,132,0.102326,1290,80,4,0
7,2019-05-29 16:14:13,Canadian Innovation,136461090093520_547682802304678,Photo,Congratulations to the recipients of the 2019 #PMAwards. You inspire the #nextgen of innovators and nurture a culture of curiosity in Canada! http://ow.ly/gPzi50us7d9 📷: Patrick Doyle,,,4,303,0.163784,1850,78,7,0
8,2019-05-17 14:01:19,Canadian Innovation,136461090093520_541416666264625,Photo,"In Canada’s North, eating healthy can be expensive, and “locally grown” has been a foreign concept – until now! 🌱🌿  Tune in to #InnovationLive🎥 on Tuesday. We will be at Cours Bayview Yards in #Ottawa to see what The Growcer (an Ottawa start-up that was featured on CBC’s Dragons' Den earlier in the year) is doing with its innovative solution to help address food insecurity in northern communities.",,,4,431,0.13282,3245,65,14,0
9,2019-05-27 20:45:05,Canadian Innovation,136461090093520_546750209064604,Photo,"From artificial intelligence and quantum research to intellectual property and blockchain, Canadian and European Union representatives were hard at work today in Ottawa discussing ways of adapting to the needs of the digital economy.",,,2,125,0.080645,1550,62,11,0
10,2019-07-10 21:30:06,Canadian Innovation,136461090093520_571195433286748,Photo,The Government of Canada is investing in Canada’s global leadership in cutting-edge technologies to spur innovation and create well-paying jobs for Canadians. http://ow.ly/AMie50uXRS0  #StrategicInnovationFund #Innovation #Canada #Jobs #Nanotech,,,6,101,0.088519,1141,61,7,0
12,2019-04-11 14:40:21,Canadian Science,126081027444465_2395688427150369,Photo,"It’s not every day you get to see a black hole for the first time! Astronomers have finally captured an image of the elusive space phenomenon. The image reveals the black hole at the centre of Messier 87, an enormous galaxy in the nearby Virgo galaxy cluster. This black hole resides 55 million light-years from Earth and has a mass roughly 6.5-billion times that of the Sun! Avery Broderick, a physicist at the University of Waterloo, helped interpret the image. He had also previously developed theoretical models that accurately predicted what images of a black hole would look like. Learn more: http://ow.ly/XUno30ooMGO #CdnScience",,,5,259,0.066873,3873,57,13,0
13,2019-06-03 19:48:13,Canadian Innovation,136461090093520_550466722026286,Photo,"When we facilitate collaboration between businesses, universities and researchers, the breakthroughs and technologies of tomorrow become a reality. Today, ministers Bains and Duncan were at the NRC to announce support for the bold new ideas and research partnerships that will drive our #innovation economy and benefit all Canadians. http://ow.ly/mUym50uvFjH",,,4,98,0.07974,1229,56,7,0
14,2019-07-25 20:00:24,Canadian Innovation,136461090093520_579559815783643,Photo,"Canada is well positioned to become a world leader in on-the-job learning. Over the past four years, the #GoC has invested more than $1.1 billion in work-integrated learning so that all post-secondary students in Canada have the chance to benefit from these opportunities, but it can’t achieve that goal alone.   Today, Minister Bains was in Toronto to announce funding for Business/Higher Education Roundtable to create 44,000 new on-the-job learning opportunities, better engage employers, post-secondary institutions and other stakeholders, and promote and build tools to simplify hiring students. http://ow.ly/f1Dn50vbMaM",,,2,204,0.093664,2178,53,5,0
15,2019-02-01 19:02:19,Canadian Innovation,136461090093520_145192836397660,Video,Minister Bains  LIVE at @ImtexMembranes | Le ministre Bains EN DIRECT à @ImtexMembranes,,,10,322,0.087405,3684,53,15,1353
16,2019-07-05 16:10:22,Canadian Innovation,136461090093520_324996638446307,Video,LIVE: Minister Bains announces funding for CANFIRST. #Cancode | EN DIRECT: Le ministre Bains annonce l’octroi d’un financement à CANFIRST. #CodeCan,,,13,271,0.060397,4487,52,13,1450
17,2019-05-29 16:02:33,Canadian Innovation,136461090093520_2277400622533928,Video,LIVE: Min. Bains speaking @Cansecshow #CANSEC2019 | EN DIRECT: Min. Bains participe à @Cansecshow #CANSEC2019,,,10,153,0.106398,1438,50,7,427
18,2019-05-23 18:09:15,Canadian Innovation,136461090093520_365272384195305,Video,LIVE: Min. Bains at @imagia_ai  | EN DIRECT: Le ministre Bains à @imagia_ai,,,9,340,0.086426,3934,48,15,1576
19,2019-08-06 15:00:55,Canadian Science,126081027444465_2602206693165207,Photo,"Using mass spectrometry, scientists can calculate the ages of minerals and rocks, allowing them to reconstruct the evolution of Earth’s giant mountains and other ancient events. This image shows the rocks of North America coloured by their geological ages. Learn more about mass spectrometry and its applications: http://ow.ly/U5oZ50vpodn #CdnScience",,,2,553,0.077062,7176,48,30,0
21,2019-03-06 21:33:11,Canadian Innovation,136461090093520_952707941784761,Video,LIVE NOW – @ISED_CA Minister Bains at @TWoSEdm in #Edmonton | EN DIRECT: @ISDE_CA Le ministre Bains à @TWoSEdm à Edmonton,,,47,706,0.049233,14340,46,31,3510
22,2019-08-01 18:17:52,Canadian Innovation,136461090093520_721531021636183,Video,LIVE: Minister Bains at @UWaterloo| EN DIRECT: Le ministre Bains à@UWaterloo,,,8,431,0.041711,10333,45,19,2286
23,2019-07-01 15:45:17,Canada Business,244892072221776_2521469287897365,Photo,Wishing everyone a happy and safe #CanadaDay! 🇨🇦,,,21,106,0.057453,1845,43,7,0
24,2019-06-03 15:50:31,Canadian Innovation,136461090093520_623603114782353,Video,LIVE: Ministers Bains and Duncan at the NRC | EN DIRECT: Les ministres Bains et Duncan au CNRC,,,1,162,0.065587,2470,43,9,693
25,2019-08-19 14:45:04,Canadian Innovation,136461090093520_593075194432105,Photo,"For the first time ever, the #GoC is holding #PublicService Pride Week! We’re making history, and we invite you to join us in celebrating inclusion, diversity and love!   #PSPW2019 #LoveWins #PrideSeason #LGBTQ2 #ISEDProud #FiertéCapPride   Capital Pride • Fierté dans la Capitale",,,3,226,0.039803,5678,43,16,0
26,2019-07-10 18:18:31,Canadian Innovation,136461090093520_434612210469330,Video,LIVE: Min. Bains at CBN Nano Tech |EN DIRECT: Le ministre Bains à CBN Nano Tech,,,1,260,0.131712,1974,42,12,847
27,2019-05-29 19:09:08,Canadian Innovation,136461090093520_442238489938927,Video,It's #CanadianInnovationWeek. Minister Bains reminds us that we all have a role to play in fostering the next generation of innovators and that we must work together to make Canada the most innovative country in the world!,,,1,70,0.068093,1028,41,1,308
28,2019-06-05 18:16:44,Canadian Innovation,136461090093520_396127571112551,Video,LIVE: Min Bains at Canadian Telecom Summit | EN DIRECT:Le ministre Bains au Sommet canadien des télécommunications,,,5,187,0.071593,2612,41,7,580
29,2019-02-11 15:40:42,Canadian Science,126081027444465_283776045626725,Video,"Today is the International Day of Women & Girls in Science, and ministers Bains, Duncan and Ng invite everyone to celebrate the amazing achievements of Canadian #WomenInScience!  Diversity makes science stronger, and Canada needs more women and girls to pursue careers in the STEM fields. Join the conversation online by using the hashtag #ChooseScience!","ChooseScience2019, IntDayWomenInScience2019",,0,443,0.029852,14840,40,57,2971
30,2019-06-14 15:38:08,Canadian Innovation,136461090093520_448462742599965,Video,🎥🔴Watch Live: Minister Bains announces partnership with PSI in support of skills development and jobs for the digital economy today in Brampton   🎥🔴Regarder en direct : Le ministre Bains annonce aujourd’hui à Brampton un partenariat avec EPS à l’appui du développement des compétences et de l’emploi dans l’économie numérique,,,4,267,0.052128,5122,39,9,1135
31,2019-07-31 18:00:36,Canadian Innovation,136461090093520_582739892132302,Link,"The work of Code for Canada fellows will mark the beginning of digital capacity building at Measurement Canada. Apply to become a fellow today, and help shape how governments deliver services now, and into the future. http://ow.ly/VsYd50viKGu",,,0,75,0.049148,1526,38,2,0
32,2019-02-21 17:22:21,Canadian Innovation,136461090093520_2728738047166641,Video,"Our innovation agenda is putting people first, making sure Canadians and Canadian businesses benefit from the economic opportunities of today and tomorrow #InnovationNation http://ow.ly/ZhGo30nMRbs",,,0,77,0.057592,1337,38,11,339
33,2019-07-24 16:20:15,Canadian Innovation,136461090093520_1194994060703256,Video,LIVE: Min. Bains with Telesat at @AvSpaceMuseum EN DIRECT: Le ministre Bains avec Telesat à @MuseeAvEspace,,,3,293,0.055693,5261,38,25,1541
35,2019-02-08 15:36:42,Canadian Innovation,136461090093520_1921081134680587,Video,LIVE: Minister Bains celebrates the completion of #infrastructure projects at the University of Guelph | EN DIRECT: Le ministre Bains souligne l’achèvement de projets d’#infrastructure à l’Université de Guelph,,,5,303,0.058146,5211,37,15,1231
36,2019-05-08 15:15:05,Canadian Innovation,136461090093520_536807206725571,Photo,"Attention, all Canadian innovators and thinkers: Canada Border Services Agency is launching two new challenges for you to solve. #INNOVATEwithGOC now! http://ow.ly/ORTi50u3xb0",,,1,89,0.064586,1378,36,8,0
38,2019-08-21 20:05:04,Canadian Innovation,136461090093520_594284940977797,Photo,"As Canada is an #InnovationNation, the #GoC is constantly seeking to leverage the latest in science and technology. Today, Minister Bains was in Toronto to announce the Next Generation Manufacturing Supercluster’s ambitious new project with iVexSol. This important initiative will help transform production of a cell and gene therapy tool that has the potential to benefit thousands of #cancer patients. http://ow.ly/RnXW50vERLl  #manufacturing #Canada #cellandgenetherapy #technology",,,0,75,0.050505,1485,35,7,0
39,2019-07-05 18:30:07,Canadian Innovation,136461090093520_568430493563242,Photo,"The Government of Canada, through its #CanCode program, is setting up young Canadians to succeed and ensuring they have the right skills for the jobs of tomorrow.    Today, Minister Bains was in Mississauga to announce funding for FIRST Robotics Canada through the CanCode program. Thanks to this funding, FIRST Robotics Canada will deliver coding and digital skills training to 80,000 students, from kindergarten to Grade 12, and up to 5,000 teachers across Canada.",,,6,58,0.045633,1271,35,4,0
40,2019-08-29 15:30:10,Entreprises Canada,106585486115074_2385126488260951,Photo,"Juliana MacEwen, lauréate d’un prix Mentor de Futurpreneur Canada a été reconnue pour sa patience, ses bons conseils et sa capacité à renforcer la confiance chez ses consœurs entrepreneures. 👏 https://www.futurpreneur.ca/fr/futurpreneur-awards-2018/",,,6,93,0.053602,1735,34,0,0
41,2019-03-05 18:24:26,Canadian Innovation,136461090093520_786752245027365,Video,LIVE: Announcing first projects under the Digital Technology Supercluster | EN DIRECT: Annonce des premiers projets en lien avec la Supergrappe des technologies numériques,,,1,302,0.08171,3696,33,13,1436
42,2019-07-11 13:45:30,Canadian Innovation,136461090093520_571518276587797,Video,Min. Bains at CBN Nano Tech | Le ministre Bains à CBN Nano Tech,,,1,124,0.118321,1048,33,4,381
43,2019-06-26 15:18:18,Canadian Innovation,136461090093520_455855371874016,Video,LIVE: Minister Bains announcing Protein Industries Canada #Supercluster milestone | EN DIRECT:  Annonce du ministre Bains sur la #Supergrappe Protein Industries Canada,,,2,110,0.058511,1880,33,8,511
45,2019-05-21 14:06:27,Canadian Innovation,136461090093520_412388936012073,Video,🔴 LIVE: #InnovationLive 🎥 with Branavan Tharmarajah from The Growcer. #CanadianInnovationWeek 🔴 EN DIRECT: #InnovationEnDirect 🎥 en compagnie de Branavan Tharmarajah de l’entreprise The Growcer. #SemaineInnovationCanadienne,,,4,170,0.069275,2454,33,12,760
46,2019-04-18 15:01:13,Canadian Science,126081027444465_2406784436040768,Photo,"Due to their fragile health, immobility and medication, ICU patients are prone to intensive care unit–acquired weakness (ICUAW), which is associated with severe muscle loss. To respond to this challenge, the TryCYCLE research program used in-bed cycling to strengthen the legs and the hip muscles of ICU patients. This progress could lead to shorter hospital stays and stronger limbs! http://ow.ly/WZHl30ot5HZ #CdnHealth 📸: Marta Hewson Photography",,,4,928,0.075349,12316,33,12,0
47,2019-08-08 18:05:34,Canadian Innovation,136461090093520_623120691552260,Video,LIVE: Minister Bains and Minister Sajjan at @KidsCodeJeunesse’s #CanCode event! I EN DIRECT: Le ministre Bains et le ministre Sajjan participent à l’événement #CodeCan de @KidsCodeJeunesse!,,,2,241,0.055735,4324,32,13,1200
48,2019-05-30 15:21:23,Canadian Innovation,136461090093520_548181758921449,Photo,"“Canadians should have the capacity and tools to know what data they are sharing, who is using it and for what purposes, and there should be clear penalties when rules are not respected.” –Navdeep Bains, Minister of Innovation, Science and Economic Development #DigitalCharter Competition Bureau Canada Learn more about Canada’s Digital Charter: http://ow.ly/Sibo50usVrC",,,3,48,0.061856,776,32,2,0
49,2019-05-22 19:23:18,Canadian Innovation,136461090093520_544152692657689,Photo,"All Canadians should have equal opportunity to participate in the digital world, and the necessary tools to do so. Minister Bains talked about the #DigitalCharter at the Collision Conf today.  Check it out here: http://ow.ly/BcnT50umQRI",,,2,46,0.050885,904,32,3,0
50,2019-08-09 21:40:06,Canadian Innovation,136461090093520_455741868610846,Video,LIVE: Minister Bains announcing funding for innovative companies in BC | EN DIRECT: Le ministre Bains annonce des fonds pour des entreprises innovatrices de la Colombie-Britannique,,,4,111,0.06049,1835,32,12,518
51,2019-06-13 15:35:22,Canadian Innovation,136461090093520_2175047679453498,Video,Minister Bains spoke about the Government of Canada’s #DigitalCharter at C2 Montréal. In case you missed it: http://ow.ly/B5Zd50uDkea,,,2,69,0.056419,1223,32,1,300
52,2019-07-25 18:08:13,Canadian Innovation,136461090093520_2163703837260112,Video,LIVE: Minister Bains at Business/Higher Education Roundtable on-the-job learning event | EN DIRECT: Le ministre Bains sera à Business/Higher Education Roundtable pour un événement sur l’apprentissage en milieu de travail.,,,12,272,0.039478,6890,32,12,1765
53,2019-08-29 17:01:08,Canadian Science,126081027444465_2644534468932429,Photo,"Balancing family life and a full-time career is a struggle that many Canadians can relate to. That’s why we doubled the maximum amount of paid parental leave available to student researchers. Thanks to this initiative, 35,000 students and post-doctoral fellows across Canada won’t have to choose between work and family. http://ow.ly/dYJP50vMMXr #ChooseScience",,,0,327,0.057118,5725,32,13,0
54,2019-01-22 16:55:05,Canadian Science,126081027444465_2274176365968243,Photo,"#Cdnscience history: On this day in 1992, astronaut Roberta Bondar became the first Canadian woman to go into #space. Read about her incredible career path: http://ow.ly/XygG30npjGt  📷: @NASA",,,1,84,0.037201,2258,32,5,0
55,2019-03-06 17:10:37,Canadian Innovation,136461090093520_727713587625957,Video,LIVE: Min. Bains discusses progress of innovation in Canada at Cisco Canada.   EN DIRECT: Le min. Bains parle des progrès en matière d’innovation au Canada à Cisco,,,5,330,0.056955,5794,31,16,2077
56,2019-06-25 17:30:08,Canadian Innovation,136461090093520_563056930767265,Photo,"Minister Bennett was at the University of Victoria to announce federal support for the construction of the national centre for Indigenous law, which will serve as a vehicle for debate, learning, public education and partnership on the revitalization of Indigenous laws. http://ow.ly/CExn50uMADq",,,1,39,0.051587,756,31,3,0
57,2019-05-01 16:15:09,Canadian Innovation,136461090093520_533482287058063,Photo,"Attention all #startups! We know how difficult it can be to find the right resources to take your business to the next level. Look no further! In just a few minutes, get a tailored list of government supports to help grow your business.  #InnovationCanada",,,2,59,0.063373,931,31,5,0
